,latency,x_pos,z_pos,x_conv,z_conv,nodeNr,in_nodeRadius,neighbours,num_neighbours,closest_to_nodeCentroid,node_1st_half,time_diff,time_diff_normalized,distance_to_next,distance_difference
55,8.609,-43.91,50.31,99.74000000000001,82.6125,76.0,1,"[56, 60, 90]",3.0,0,0,39.561,0.988876668499725,0.556591765440971,0.13752272539475374
56,8.72,-43.93,50.86,99.735,82.75,76.0,1,"[56, 60, 90]",3.0,0,0,39.45,0.986102084687297,0.6941826444991444,0.13759087905817335
57,8.831,-43.97,51.42,99.725,82.89,76.0,1,"[56, 60, 90]",3.0,0,0,39.339,0.9833275008748688,0.8345393329753272,0.14035668847618288
58,8.941,-44.02,51.97,99.7125,83.0275,76.0,1,"[56, 60, 90]",3.0,0,0,39.229,0.980577913313003,0.9726063456901698,0.13806701271484256
59,9.052,-44.07,52.51,99.7,83.1625,76.0,1,"[56, 60, 90]",3.0,0,0,39.118,0.9778033295005749,1.1081838143197236,0.13557746862955378
60,12.385,-44.0,52.88,99.7175,83.255,76.0,1,"[56, 60, 90]",3.0,0,0,35.785000000000004,0.8944908263760437,1.202324666238538,0.0941408519188145
61,12.497,-44.04,53.44,99.7075,83.395,76.0,1,"[56, 60, 90]",3.0,0,0,35.673,0.8916912463130531,1.342681354714721,0.14035668847618288
62,12.606,-44.1,53.98,99.6925,83.53,76.0,1,"[56, 60, 90]",3.0,0,0,35.564,0.8889666550017498,1.4785121317867873,0.13583077707206637
63,12.717,-44.16,54.54,99.67750000000001,83.67,76.0,1,"[56, 60, 90]",3.0,0,0,35.453,0.8861920711893216,1.6193134101900737,0.14080127840328638
64,12.828,-44.24,55.09,99.6575,83.8075,76.0,1,"[56, 60, 90]",3.0,0,0,35.342,0.8834174873768934,1.7582603425059804,0.1389469323159067
65,12.94,-44.33,55.64,99.635,83.945,76.0,1,"[56, 60, 90]",3.0,0,0,35.230000000000004,0.880617907313903,1.897589090436896,0.13932874793091554
66,13.051,-44.42,56.18,99.6125,84.08,76.0,1,"[56, 60, 90]",3.0,0,0,35.119,0.8778433235014748,2.034451247368612,0.1368621569317161
67,13.162,-44.51,56.73,99.59,84.2175,76.0,1,"[56, 60, 90]",3.0,0,0,35.008,0.8750687396890467,2.1737799952995416,0.13932874793092953
68,13.274,-44.63,57.27,99.56,84.35249999999999,76.0,1,"[56, 60, 90]",3.0,0,0,34.896,0.8722691596260561,2.312073162158926,0.13829316685938453
69,13.384,-44.76,57.81,99.5275,84.4875,76.0,1,"[56, 60, 90]",3.0,0,0,34.786,0.8695195720641904,2.4509301029289188,0.13885694076999266
70,13.495,-44.89,58.35,99.495,84.6225,76.0,1,"[56, 60, 90]",3.0,0,0,34.675000000000004,0.8667449882517624,2.5897870436989114,0.13885694076999266
71,13.606,-45.01,58.9,99.465,84.75999999999999,76.0,1,"[56, 60, 90]",3.0,0,0,34.564,0.8639704044393341,2.7305217231492764,0.140734679450365
72,13.718,-45.13,59.44,99.435,84.895,76.0,1,"[56, 60, 90]",3.0,0,0,34.452,0.8611708243763435,2.868814890008675,0.13829316685939874
73,13.829,-45.25,59.98,99.405,85.03,76.0,1,"[56, 60, 90]",3.0,0,0,34.341,0.8583962405639154,3.007108056868074,0.13829316685939874
74,13.94,-45.37,60.52,99.375,85.16499999999999,76.0,1,"[56, 60, 90]",3.0,0,0,34.230000000000004,0.8556216567514874,3.1454012237274585,0.13829316685938453
75,14.051,-45.5,61.06,99.3425,85.3,76.0,1,"[56, 60, 90]",3.0,0,0,34.119,0.8528470729390591,3.284258164497451,0.13885694076999266
76,14.162,-45.64,61.6,99.3075,85.435,76.0,1,"[56, 60, 90]",3.0,0,0,34.008,0.850072489126631,3.4237214213072686,0.13946325680981753
77,14.272,-45.79,62.13,99.27,85.5675,76.0,1,"[56, 60, 90]",3.0,0,0,33.898,0.8473229015647653,3.5614258148464684,0.13770439353919972
